line_item,2025-12-31,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Ordinary Shares Number,197521082.0,137362757.0,100372416.0,40075752.0,
Share Issued,197521082.0,137362757.0,100372416.0,40075752.0,
Total Debt,2735785.0,379162.590348,0.0,,1843966.998137
Tangible Book Value,-3155737.0,4669062.568446,3347064.238875,3932405.919924,
Invested Capital,1447300.0,7618757.39213,6761868.684963,3932405.919924,
Working Capital,4915395.0,708556.618238,660979.014647,2398527.00364,
Net Tangible Assets,-3155737.0,4669062.568446,3347064.238875,3932405.919924,
Capital Lease Obligations,251547.0,379162.590348,0.0,,29348.43096
Common Stock Equity,-1036938.0,7618757.39213,6761868.684963,3932405.919924,
Total Capitalization,-1036938.0,7618757.39213,6761868.684963,3932405.919924,
Total Equity Gross Minority Interest,-1036938.0,7618757.39213,6761868.684963,3932405.919924,
Stockholders Equity,-1036938.0,7618757.39213,6761868.684963,3932405.919924,
Other Equity Interest,1870603.0,2937159.962035,1647399.280114,983305.00648,
Retained Earnings,-32952968.0,-13933151.785062,-9240206.457844,-3893382.381473,
Additional Paid In Capital,1015187.0,760489.888297,80997.728662,29862.711772,
Capital Stock,29030240.0,17854259.32686,14273678.134032,6812620.583145,
Common Stock,29030240.0,17854259.32686,14273678.134032,6812620.583145,
Total Liabilities Net Minority Interest,14652777.0,1063596.407973,581109.409075,647756.746059,
Total Non Current Liabilities Net Minority Interest,11381225.0,564373.220413,0.0,0.0,
Derivative Product Liabilities,11220119.0,264991.604001,0.0,,
Long Term Debt And Capital Lease Obligation,161106.0,299381.616412,,,0.0
Long Term Capital Lease Obligation,161106.0,299381.616412,0.0,,0.0
Current Liabilities,3271552.0,499223.187559,581109.409075,647756.746059,
Other Current Liabilities,,153133.53289,,,
Current Debt And Capital Lease Obligation,2574679.0,79780.973936,,,1843966.998137
Current Capital Lease Obligation,90441.0,79780.973936,0.0,,29348.43096
Current Debt,2484238.0,,,,1814618.567177
Other Current Borrowings,,,,,1814618.567177
Current Notes Payable,2484238.0,,,,
Payables And Accrued Expenses,696873.0,266308.680733,581109.409075,647756.746059,
Current Accrued Expenses,58479.0,14601.737607,44825.348435,19401.954165,
Interest Payable,,,,,138867.516715
Payables,638394.0,251706.943126,536284.060639,628354.791895,
Accounts Payable,638394.0,,,,
Total Assets,13615839.0,8682353.800102,7342978.094038,4580162.665984,
Total Non Current Assets,5428892.0,7474573.994305,6100889.670316,1533878.916284,
Other Non Current Assets,48731.0,20989.99781,,,
Goodwill And Other Intangible Assets,2118799.0,2949694.823684,3414804.446088,0.0,
Other Intangible Assets,2118799.0,2949694.823684,3414804.446088,,
Net PPE,3261362.0,4503889.172812,2686085.224229,1533878.916284,
Accumulated Depreciation,-149067.0,-11760.969555,,,-59246.89297
Gross PPE,3410429.0,4515650.142367,2686085.224229,,86402.458203
Other Properties,1769440.0,374857.268015,2686085.224229,,
Machinery Furniture Equipment,256108.0,201617.14244,,,0.0
Buildings And Improvements,329672.0,,,,86400.845209
Properties,,,,,2.0
Current Assets,8186947.0,1207779.805797,1242088.423722,3046283.749699,
Prepaid Assets,737912.0,66177.995181,139076.82556,91862.044345,
Receivables,85227.0,218770.533694,425752.89954,105947.086991,
Taxes Receivable,49659.0,95490.983427,336942.069559,105947.086991,
Accounts Receivable,35568.0,123279.550266,88810.829982,0.0,
Cash Cash Equivalents And Short Term Investments,7363808.0,922831.276922,677258.698621,2848474.618364,
Cash And Cash Equivalents,7363808.0,922831.276922,677258.698621,2848474.618364,
Cash Financial,7363808.0,922831.276922,677258.698621,2848474.618364,
