line_item,2025-12-31,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Free Cash Flow,-7721216.0,-5541820.106593,-4556277.118344,-1726440.983136,
Repayment Of Debt,-205863.0,-61018.471198,0.0,,-29662.964845
Issuance Of Debt,2569134.0,,,,
Issuance Of Capital Stock,7191128.0,5806903.70154,2937472.55152,0.0,
Capital Expenditure,-1713023.0,-1825981.601811,-1441114.238498,-802661.948111,
Interest Paid Supplemental Data,4090.0,,,,
End Cash Position,7363808.0,922831.276922,677258.698621,2848474.618364,
Beginning Cash Position,2372121.0,655260.275973,2769632.737453,15827.338129,
Changes In Cash,4991687.0,267571.000949,-2092374.038832,2832647.280234,
Financing Cash Flow,12712903.0,5830381.105352,3185168.388406,2840962.957789,
Cash Flow From Continuing Financing Activities,12712903.0,5830381.105352,3185168.388406,2840962.957789,
Net Other Financing Charges,-183659.0,-4587.135869,,2840962.957789,
Interest Paid Cff,,,,,-3648.593066
Proceeds From Stock Option Exercised,3342163.0,89083.010878,247695.836886,0.0,
Cash Dividends Paid,,,,,0.0
Net Common Stock Issuance,7191128.0,5806903.70154,2937472.55152,0.0,
Common Stock Issuance,7191128.0,5806903.70154,2937472.55152,0.0,
Net Issuance Payments Of Debt,2363271.0,-61018.471198,0.0,,-29662.964845
Net Short Term Debt Issuance,2470138.0,,,,
Short Term Debt Payments,-98996.0,,,,
Short Term Debt Issuance,2569134.0,,,,
Net Long Term Debt Issuance,-106867.0,-61018.471198,0.0,,-29662.964845
Long Term Debt Payments,-106867.0,-61018.471198,0.0,,-29662.964845
Investing Cash Flow,-1713023.0,-1846971.59962,-2162379.547392,915463.357469,
Cash Flow From Continuing Investing Activities,-1713023.0,-1846971.59962,-2162379.547392,915463.357469,
Net Other Investing Changes,,-20989.99781,-188649.346141,,
Net Business Purchase And Sale,,0.0,-532615.962753,1718125.305581,
Sale Of Business,,0.0,79602.478098,1718125.305581,
Purchase Of Business,,0.0,-612218.440851,0.0,
Net PPE Purchase And Sale,-1713023.0,-1825981.601811,-1441114.238498,-802661.948111,
Purchase Of PPE,-1713023.0,-1825981.601811,-1441114.238498,-802661.948111,
Operating Cash Flow,-6008193.0,-3715838.504782,-3115162.879845,-923779.035024,
Cash Flow From Continuing Operating Activities,-6008193.0,-3715838.504782,-3115162.879845,-923779.035024,
Change In Working Capital,-223994.0,234519.237789,-404693.595732,58641.242346,
Change In Payables And Accrued Expense,56501.0,-27015.404833,-193621.388308,7011.866235,
Change In Payable,56501.0,,,,
Change In Account Payable,56501.0,,,,
Change In Prepaid Assets,-415580.0,68381.397386,65922.382113,-23165.933273,
Change In Receivables,135085.0,193153.245236,-276994.589537,74795.309384,
Changes In Account Receivables,35117.0,-37353.435059,-80510.258751,0.0,
Other Non Cash Items,265671.0,65477.111776,1925885.70868,4458898.124219,
Stock Based Compensation,544801.0,765571.292984,742772.843549,341725.066549,
Provisionand Write Offof Assets,,,,,-37761.809134
Asset Impairment Charge,3830688.0,0.0,2097865.243999,0.0,
Depreciation Amortization Depletion,795580.0,356792.728335,75459.738457,0.0,
Depreciation And Amortization,795580.0,356792.728335,75459.738457,0.0,
Amortization Cash Flow,292248.0,292034.752136,75459.738457,0.0,
Amortization Of Intangibles,292248.0,292034.752136,75459.738457,0.0,
Depreciation,503332.0,64757.976199,0.0,,29623.446485
Operating Gains Losses,4699701.0,-145117.178944,,-1891446.842526,221685.901623
Gain Loss On Investment Securities,4697063.0,-145117.178944,,,
Net Foreign Currency Exchange Gain Loss,2638.0,,,,
Net Income From Continuing Operations,-15920640.0,-4993081.696722,-5454587.574799,-3891596.625612,
