line_item,2025-12-31,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,
Normalized EBITDA,-6303426.0,-5152274.220632,-1500504.82565,1243305.937774,
Total Unusual Items,-8599943.0,145117.178944,-2097865.243999,-2567451.281693,
Total Unusual Items Excluding Goodwill,-8599943.0,145117.178944,-2097865.243999,-2567451.281693,
Net Income From Continuing Operation Net Minority Interest,-15920640.0,-4993081.696722,-5454587.574799,-3891596.625612,
Reconciled Depreciation,795580.0,356792.728335,75459.738457,0.0,
Reconciled Cost Of Revenue,841856.0,365952.398335,130152.95689,0.0,
EBITDA,-14903369.0,-5007157.041688,-3598370.069649,-1324145.343919,
EBIT,-15698949.0,-5363949.770023,-3673829.808106,-1324145.343919,
Net Interest Income,-219956.0,77923.632912,17639.468462,0.0,
Interest Expense,221691.0,,,,40102.263837
Interest Income,1735.0,77923.632912,17639.468462,0.0,
Normalized Income,-7320697.0,-5138198.875666,-3356722.3308,-1324145.343919,
Net Income From Continuing And Discontinued Operation,-15920640.0,-4993081.696722,-5454587.574799,-3891596.625612,
Total Expenses,7213534.0,5363949.770023,3673829.808106,1324145.343919,
Diluted Average Shares,172287804.0,128686023.0,69192565.0,28709266.0,
Basic Average Shares,172287804.0,128686023.0,69192565.0,28709266.0,
Diluted EPS,-0.09,-0.036504,-0.07546,-0.131933,
Basic EPS,-0.09,-0.036504,-0.07546,-0.131933,
Diluted NI Availto Com Stockholders,-15920640.0,-4993081.696722,-5454587.574799,-3891596.625612,
Net Income Common Stockholders,-15920640.0,-4993081.696722,-5454587.574799,-3891596.625612,
Net Income,-15920640.0,-4993081.696722,-5454587.574799,-3891596.625612,
Net Income Including Noncontrolling Interests,-15920640.0,-4993081.696722,-5454587.574799,-3891596.625612,
Net Income Continuous Operations,-15920640.0,-4993081.696722,-5454587.574799,-3891596.625612,
Pretax Income,-15920640.0,-4993081.696722,-5454587.574799,-3891596.625612,
Other Income Expense,-8487150.0,292944.440388,-1798397.235155,-2567451.281693,
Other Non Operating Income Expenses,112793.0,147827.261444,299468.008844,,
Special Income Charges,-3830688.0,0.0,-2097865.243999,-4458898.124219,
Other Special Charges,,,,,221685.901623
Write Off,119851.0,,,,
Impairment Of Capital Assets,3710837.0,0.0,2097865.243999,0.0,
Restructuring And Mergern Acquisition,,,0.0,4458898.124219,
Gain On Sale Of Security,-4769255.0,145117.178944,,1891446.842526,
Net Non Operating Interest Income Expense,-219956.0,77923.632912,17639.468462,0.0,
Interest Expense Non Operating,221691.0,,,,40102.263837
Interest Income Non Operating,1735.0,77923.632912,17639.468462,0.0,
Operating Income,-7213534.0,-5363949.770023,-3673829.808106,-1324145.343919,
Operating Expense,6371678.0,4997997.371687,3543676.851216,1324145.343919,
Other Operating Expenses,863952.0,569898.517924,371339.636737,60659.045579,
Research And Development,225845.0,1420385.485873,500664.045698,0.0,
Selling General And Administration,5175669.0,3007713.367891,2671673.168781,1263486.29834,
Selling And Marketing Expense,220044.0,335366.868657,736514.967439,435851.706984,
General And Administrative Expense,4955625.0,2672346.499233,1935158.201342,827634.591356,
Other Gand A,2704984.0,1868576.330583,1181623.289894,469870.317338,
Insurance And Claims,106772.0,38198.875666,10762.067899,16039.207469,
Salaries And Wages,2143869.0,765571.292984,742772.843549,341725.066549,
Gross Profit,-841856.0,-365952.398335,-130152.95689,0.0,
Cost Of Revenue,841856.0,365952.398335,130152.95689,0.0,
Total Revenue,0.0,0.0,0.0,0.0,
Operating Revenue,0.0,0.0,0.0,0.0,
