metric,value
longName,LibertyStream Infrastructure Partners Inc.
symbol,LIB.V
currency,CAD
exchange,VAN
sector,Basic Materials
industry,Other Industrial Metals & Mining
currentPrice,1.06
regularMarketPrice,1.06
previousClose,1.11
marketCap,228594064
sharesOutstanding,215654785
enterpriseValue,235016144
totalRevenue,
netIncomeToCommon,-15295137
trailingEps,-0.13
forwardEps,-0.055784114
trailingPE,
forwardPE,-19.001825
enterpriseToEbitda,-20.132
enterpriseToRevenue,
priceToBook,44.876034
totalCash,7152628
totalDebt,2791965
freeCashflow,
beta,1.028
fiftyTwoWeekHigh,1.79
fiftyTwoWeekLow,0.165
dividendYield,
