line_item,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,201621087.0,163948530.0,163948530.0,162955733.0,
Share Issued,201621087.0,163948530.0,163948530.0,162955733.0,
Net Debt,30022000.0,33079000.0,22426000.0,18513000.0,
Total Debt,103313000.0,111978000.0,96485000.0,90923000.0,
Tangible Book Value,-25913000.0,-44109000.0,20544000.0,34959000.0,
Invested Capital,213172000.0,156824000.0,143702000.0,145491000.0,
Working Capital,19456000.0,173000.0,22123000.0,38619000.0,
Net Tangible Assets,-25913000.0,-44109000.0,20544000.0,34959000.0,
Capital Lease Obligations,47703000.0,55139000.0,58127000.0,48709000.0,
Common Stock Equity,157562000.0,99985000.0,105344000.0,103277000.0,
Total Capitalization,184362000.0,123570000.0,116331000.0,119748000.0,
Total Equity Gross Minority Interest,157557000.0,100625000.0,107593000.0,105818000.0,
Minority Interest,-5000.0,640000.0,2249000.0,2541000.0,
Stockholders Equity,157562000.0,99985000.0,105344000.0,103277000.0,
Other Equity Interest,-5266000.0,-25714000.0,-20355000.0,-21280000.0,
Retained Earnings,,,,,1320000.0
Additional Paid In Capital,62017000.0,43725000.0,43725000.0,43079000.0,
Capital Stock,100811000.0,81974000.0,81974000.0,81478000.0,
Common Stock,100811000.0,81974000.0,81974000.0,81478000.0,
Total Liabilities Net Minority Interest,294424000.0,267718000.0,147235000.0,140182000.0,
Total Non Current Liabilities Net Minority Interest,107616000.0,112342000.0,71098000.0,63355000.0,
Other Non Current Liabilities,35779000.0,39677000.0,10126000.0,4999000.0,
Non Current Deferred Taxes Liabilities,6071000.0,2956000.0,698000.0,1351000.0,
Long Term Debt And Capital Lease Obligation,65766000.0,69709000.0,60274000.0,57005000.0,
Long Term Capital Lease Obligation,38966000.0,46124000.0,49287000.0,40534000.0,
Long Term Debt,26800000.0,23585000.0,10987000.0,16471000.0,
Current Liabilities,186808000.0,155376000.0,76137000.0,76827000.0,
Other Current Liabilities,25680000.0,25625000.0,6263000.0,5160000.0,
Current Debt And Capital Lease Obligation,37547000.0,42269000.0,36211000.0,33918000.0,
Current Capital Lease Obligation,8737000.0,9015000.0,8840000.0,8175000.0,
Current Debt,28810000.0,33254000.0,27371000.0,25743000.0,
Pensionand Other Post Retirement Benefit Plans Current,9979000.0,7039000.0,6245000.0,5741000.0,
Payables,102778000.0,74897000.0,22715000.0,28573000.0,
Total Tax Payable,15750000.0,8616000.0,4753000.0,4743000.0,
Accounts Payable,87028000.0,66281000.0,17962000.0,23830000.0,
Total Assets,451981000.0,368343000.0,254828000.0,246000000.0,
Total Non Current Assets,245717000.0,212794000.0,156568000.0,130554000.0,
Other Non Current Assets,,-2000.0,1000.0,1000.0,
Non Current Deferred Taxes Assets,7520000.0,6896000.0,5241000.0,2256000.0,
Investmentin Financial Assets,1100000.0,2500000.0,2500000.0,5000000.0,
Available For Sale Securities,1100000.0,2500000.0,2500000.0,5000000.0,
Long Term Equity Investment,8000.0,67000.0,67000.0,0.0,
Investments In Other Ventures Under Equity Method,8000.0,67000.0,67000.0,0.0,
Investmentsin Associatesat Cost,,,,0.0,16000.0
Goodwill And Other Intangible Assets,183475000.0,144094000.0,84800000.0,68318000.0,
Other Intangible Assets,7438000.0,6998000.0,6951000.0,3596000.0,
Goodwill,176037000.0,137096000.0,77849000.0,64722000.0,
Net PPE,53614000.0,59239000.0,63959000.0,54979000.0,
Accumulated Depreciation,-10453000.0,-7985000.0,-31368000.0,-17886000.0,
Gross PPE,64067000.0,67224000.0,95327000.0,72865000.0,
Other Properties,20246000.0,15974000.0,10397000.0,10044000.0,
Machinery Furniture Equipment,2123000.0,2283000.0,20331000.0,15525000.0,
Buildings And Improvements,41698000.0,48967000.0,64599000.0,47296000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,206264000.0,155549000.0,98260000.0,115446000.0,
Prepaid Assets,2036000.0,2058000.0,384000.0,11706000.0,
Inventory,94225000.0,66826000.0,38368000.0,35780000.0,
Finished Goods,73253000.0,50457000.0,18978000.0,16827000.0,
Work In Process,5150000.0,3861000.0,4336000.0,4865000.0,
Raw Materials,15822000.0,12508000.0,15054000.0,14088000.0,
Other Receivables,6433000.0,4533000.0,9205000.0,4751000.0,
Taxes Receivable,1033000.0,1651000.0,2280000.0,2386000.0,
Accounts Receivable,76949000.0,56721000.0,32091000.0,37122000.0,
Allowance For Doubtful Accounts Receivable,-2286000.0,-1866000.0,-300000.0,-144000.0,
Gross Accounts Receivable,79235000.0,58587000.0,32391000.0,37266000.0,
Cash Cash Equivalents And Short Term Investments,25588000.0,23760000.0,15932000.0,23701000.0,
Cash And Cash Equivalents,25588000.0,23760000.0,15932000.0,23701000.0,
Cash Equivalents,,1500000.0,1500000.0,1500000.0,1500000.0
Cash Financial,25588000.0,23760000.0,14432000.0,22201000.0,
