line_item,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,19113000.0,-1257000.0,13675000.0,-6491000.0,
Repayment Of Debt,-2110000.0,-1197000.0,,,
Issuance Of Debt,16200000.0,23750000.0,,,
Issuance Of Capital Stock,14574000.0,0.0,178000.0,0.0,
Capital Expenditure,-6935000.0,-3854000.0,-3760000.0,-3714000.0,
End Cash Position,25588000.0,23760000.0,15932000.0,23701000.0,
Other Cash Adjustment Outside Changein Cash,,,,,-1000000.0
Beginning Cash Position,23760000.0,15932000.0,23701000.0,39318000.0,
Effect Of Exchange Rate Changes,-990000.0,214000.0,-38000.0,285000.0,
Changes In Cash,2818000.0,7614000.0,-7731000.0,-15902000.0,
Financing Cash Flow,1210000.0,1372000.0,-14017000.0,18038000.0,
Net Other Financing Charges,-2500000.0,-7500000.0,,,
Net Common Stock Issuance,14574000.0,0.0,178000.0,0.0,
Common Stock Issuance,14574000.0,0.0,178000.0,0.0,
Net Issuance Payments Of Debt,-1230000.0,18481000.0,-4821000.0,25606000.0,
Net Short Term Debt Issuance,14090000.0,22553000.0,5586000.0,7772000.0,
Short Term Debt Payments,-2110000.0,-1197000.0,,,
Short Term Debt Issuance,16200000.0,23750000.0,,,
Net Long Term Debt Issuance,-15320000.0,-4072000.0,-10407000.0,17834000.0,
Long Term Debt Payments,-1229000.0,,,,
Long Term Debt Issuance,,18481000.0,,,
Investing Cash Flow,-24440000.0,3645000.0,-11149000.0,-31163000.0,
Net Other Investing Changes,,,,-17605000.0,177000.0
Net Investment Purchase And Sale,,,,0.0,-3000000.0
Purchase Of Investment,,,,0.0,-3000000.0
Net Business Purchase And Sale,-17519000.0,6613000.0,-7389000.0,-10264000.0,
Sale Of Business,,6613000.0,,,8920000.0
Purchase Of Business,-17519000.0,,-7389000.0,-10264000.0,
Net PPE Purchase And Sale,-6921000.0,-2968000.0,-3760000.0,-3294000.0,
Sale Of PPE,14000.0,886000.0,0.0,420000.0,
Purchase Of PPE,-6935000.0,-3854000.0,-3760000.0,-3714000.0,
Operating Cash Flow,26048000.0,2597000.0,17435000.0,-2777000.0,
Taxes Refund Paid,-2155000.0,-117000.0,-491000.0,-1699000.0,
Interest Paid Cfo,-4495000.0,-4815000.0,-5500000.0,-2959000.0,
Change In Working Capital,-17993000.0,-10285000.0,6012000.0,-19412000.0,
Change In Other Current Liabilities,21956000.0,-31809000.0,-6233000.0,12067000.0,
Change In Inventory,-22658000.0,6186000.0,11123000.0,-13232000.0,
Change In Receivables,-17291000.0,15338000.0,1122000.0,-18247000.0,
Other Non Cash Items,-3104000.0,-5068000.0,-3080000.0,204000.0,
Depreciation And Amortization,15399000.0,15473000.0,14631000.0,11934000.0,
Depreciation,15399000.0,15473000.0,14631000.0,11934000.0,
Gain Loss On Sale Of PPE,-14000.0,-369000.0,0.0,-224000.0,
Net Income From Continuing Operations,38410000.0,7778000.0,5863000.0,9363000.0,
