line_item,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,1344149.784735,1354862.0,1052248.0,-318203.955136,
Tax Rate For Calcs,0.221807,0.206,0.206,0.213991,
Normalized EBITDA,47809000.0,17271000.0,15612000.0,20410000.0,
Total Unusual Items,6060000.0,6577000.0,5108000.0,-1487000.0,
Total Unusual Items Excluding Goodwill,6060000.0,6577000.0,5108000.0,-1487000.0,
Net Income From Continuing Operation Net Minority Interest,23355000.0,3605000.0,1372000.0,1546000.0,
Reconciled Depreciation,15399000.0,15473000.0,14631000.0,11934000.0,
Reconciled Cost Of Revenue,382103000.0,100262000.0,86653000.0,71558000.0,
EBITDA,53869000.0,23848000.0,20720000.0,18923000.0,
EBIT,38470000.0,8375000.0,6089000.0,6989000.0,
Net Interest Income,-7886000.0,-5294000.0,-5536000.0,-3555000.0,
Interest Expense,8507000.0,5703000.0,5921000.0,3601000.0,
Interest Income,621000.0,409000.0,385000.0,46000.0,
Normalized Income,18639149.784735,-1617138.0,-2683752.0,2714796.044864,
Net Income From Continuing And Discontinued Operation,23355000.0,3605000.0,1372000.0,1546000.0,
Total Expenses,501770000.0,186140000.0,167520000.0,136537000.0,
Total Operating Income As Reported,38410000.0,7778000.0,5863000.0,9363000.0,
Diluted Average Shares,190363000.0,163949000.0,165380000.0,162365000.0,
Basic Average Shares,190363000.0,163949000.0,163429000.0,161016000.0,
Diluted EPS,0.12,0.02,0.01,0.009522,
Basic EPS,0.12,0.02,0.01,0.01,
Diluted NI Availto Com Stockholders,23355000.0,3605000.0,1372000.0,1546000.0,
Net Income Common Stockholders,23355000.0,3605000.0,1372000.0,1546000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,23355000.0,3605000.0,1372000.0,1546000.0,
Minority Interests,38000.0,147000.0,434000.0,-1117000.0,
Net Income Including Noncontrolling Interests,23317000.0,3458000.0,938000.0,2663000.0,
Net Income Discontinuous Operations,,,,0.0,-3353000.0
Net Income Continuous Operations,23317000.0,3458000.0,938000.0,2663000.0,
Tax Provision,6646000.0,-786000.0,-770000.0,725000.0,
Pretax Income,29963000.0,2672000.0,168000.0,3388000.0,
Special Income Charges,6060000.0,6577000.0,5108000.0,-1487000.0,
Other Special Charges,-2985000.0,-1339000.0,-1874000.0,-1543000.0,
Write Off,58000.0,55000.0,0.0,3030000.0,
Restructuring And Mergern Acquisition,-3133000.0,-5293000.0,-3234000.0,0.0,
Net Non Operating Interest Income Expense,-7886000.0,-5294000.0,-5536000.0,-3555000.0,
Total Other Finance Cost,,,286000.0,81000.0,93000.0
Interest Expense Non Operating,8507000.0,5703000.0,5921000.0,3601000.0,
Interest Income Non Operating,621000.0,409000.0,385000.0,46000.0,
Operating Income,36050000.0,2916000.0,2982000.0,10292000.0,
Operating Expense,119667000.0,85878000.0,80867000.0,64979000.0,
Other Operating Expenses,33672000.0,21256000.0,21134000.0,14822000.0,
Depreciation And Amortization In Income Statement,15399000.0,15473000.0,14631000.0,11934000.0,
Amortization,2350000.0,2030000.0,1150000.0,,
Depreciation Income Statement,13049000.0,13443000.0,13481000.0,11934000.0,
Selling General And Administration,,,,14788000.0,7163000.0
General And Administrative Expense,,,,14788000.0,7163000.0
Gross Profit,155717000.0,88794000.0,83849000.0,75271000.0,
Cost Of Revenue,382103000.0,100262000.0,86653000.0,71558000.0,
Total Revenue,537820000.0,189056000.0,170502000.0,146829000.0,
Operating Revenue,537820000.0,189056000.0,170502000.0,146829000.0,
