metric,value
longName,
symbol,SUSG.ST
currency,SEK
exchange,STO
sector,Industrials
industry,Security & Protection Services
currentPrice,1.78
regularMarketPrice,1.78
previousClose,1.795
marketCap,386522560
sharesOutstanding,217147505
enterpriseValue,477410816
totalRevenue,579820032
netIncomeToCommon,27385000
trailingEps,0.14
forwardEps,
trailingPE,12.714286
forwardPE,
enterpriseToEbitda,8.819
enterpriseToRevenue,0.823
priceToBook,1.764123
totalCash,14952000
totalDebt,104962000
freeCashflow,7893125
beta,0.993
fiftyTwoWeekHigh,2.1
fiftyTwoWeekLow,0.685
dividendYield,
